ID,motif
Apidae,ancestral
Others,
Crabronidae,absent
Sphecidae,absent
Ampulicidae,
Formicodea,ancestral
Scolioidea,absent
Pompiloidea,absent
Thynnoidea,
Tiphioidea,
Vespoidea,absent
Chrysidoidea,absent
Trigonaloidea,
Stephanoidea,
Evanioidea,
Cynipoidea,absent
Platygastroidea,
Agaonidae,novel
Megstigmidae,novel
Leucospidae,
Eucharitidae,
Perilampidae,
Eurytomidae,novel
Chalcididae,
Pteromalidae,novel
Eupelmidae,novel
Toryminae,novel
Ormyridae,novel
Tanaostigmatidae,
Encyrtidae,
Aphelinidae,
Eulophidae,
Trichogrammatidae,novel
Mymaridae,
Diaprioidea,
Proctotrupoidea,
Ceraphronoidea,
Braconidae,absent
Ichneumonoidae,absent
Orussoidea,ancestral
Cephoidea,ancestral
Siricoidea,
Xiphydrioidea,
Tenthredinoidea,ancestral
Xyeloidea,
Pamphilioidea,
